133,158,160,33,144,153
"[0.37937527894973755, 0.5036569833755493]","[0.34636780619621277, 0.4945532977581024]","[0.3121185600757599, 0.4962127208709717]","[0.2851855754852295, 0.5048818588256836]","[0.3139740824699402, 0.5099435448646545]","[0.34836283326148987, 0.5090721845626831]"
"[0.3778805136680603, 0.5043336749076843]","[0.34450167417526245, 0.49511396884918213]","[0.31010013818740845, 0.4969368577003479]","[0.2832298278808594, 0.5058062672615051]","[0.3123045563697815, 0.5106997489929199]","[0.3467840850353241, 0.50972980260849]"
"[0.3781108260154724, 0.5037965774536133]","[0.34446680545806885, 0.4942636787891388]","[0.3097124397754669, 0.4960341453552246]","[0.2828714847564697, 0.5049011707305908]","[0.3121834397315979, 0.5100516080856323]","[0.3469909429550171, 0.5091424584388733]"
"[0.37787455320358276, 0.5036606788635254]","[0.3445640504360199, 0.4942673444747925]","[0.31009525060653687, 0.4960630536079407]","[0.28345632553100586, 0.50491863489151]","[0.31254491209983826, 0.5098484754562378]","[0.3470360338687897, 0.5089190602302551]"
"[0.37724268436431885, 0.5036303400993347]","[0.3435943126678467, 0.4940181076526642]","[0.3089347183704376, 0.49580156803131104]","[0.2822873890399933, 0.5048198103904724]","[0.31131961941719055, 0.5099536776542664]","[0.3460198640823364, 0.5090575814247131]"
"[0.3767182230949402, 0.5034608244895935]","[0.3427128791809082, 0.4937115013599396]","[0.30771273374557495, 0.4954931139945984]","[0.2809165418148041, 0.5045554637908936]","[0.31030967831611633, 0.509811282157898]","[0.3453242778778076, 0.5089006423950195]"
"[0.376411110162735, 0.5040062069892883]","[0.3422355651855469, 0.49404555559158325]","[0.30720096826553345, 0.49588727951049805]","[0.2804780602455139, 0.5051364302635193]","[0.3098021149635315, 0.5104897022247314]","[0.34488415718078613, 0.5095680952072144]"
"[0.3796040713787079, 0.5030211806297302]","[0.3461940884590149, 0.49314528703689575]","[0.3114255666732788, 0.49466949701309204]","[0.28441357612609863, 0.5033903121948242]","[0.31420156359672546, 0.5088599324226379]","[0.3488878011703491, 0.5080569982528687]"
"[0.378758043050766, 0.5029160380363464]","[0.3445701599121094, 0.49282804131507874]","[0.30904850363731384, 0.4943731427192688]","[0.2817777991294861, 0.5032971501350403]","[0.31205737590789795, 0.5089574456214905]","[0.34745079278945923, 0.5081091523170471]"
"[0.38019275665283203, 0.5030365586280823]","[0.3465465307235718, 0.4931759536266327]","[0.3115215301513672, 0.49479782581329346]","[0.284511923789978, 0.5036281943321228]","[0.314380943775177, 0.5090625286102295]","[0.34927356243133545, 0.5081861615180969]"
"[0.38005608320236206, 0.5029184818267822]","[0.3467405140399933, 0.4930473268032074]","[0.31183403730392456, 0.494493693113327]","[0.2848566770553589, 0.5031538605690002]","[0.31445324420928955, 0.5086899995803833]","[0.34920117259025574, 0.5079445242881775]"
"[0.37986117601394653, 0.5026006102561951]","[0.3461966812610626, 0.49262702465057373]","[0.3110607862472534, 0.49411463737487793]","[0.28393805027008057, 0.502876877784729]","[0.3137989044189453, 0.5084426999092102]","[0.3487852215766907, 0.5077359080314636]"
"[0.3805476725101471, 0.5026785135269165]","[0.3467506468296051, 0.49272337555885315]","[0.31149062514305115, 0.49424052238464355]","[0.2843271493911743, 0.503078818321228]","[0.31436845660209656, 0.5086469650268555]","[0.34946590662002563, 0.5078454613685608]"
"[0.3798961043357849, 0.502979576587677]","[0.34628862142562866, 0.4932335913181305]","[0.3112678527832031, 0.49475228786468506]","[0.28423792123794556, 0.5034705996513367]","[0.31398138403892517, 0.5089288353919983]","[0.3489013910293579, 0.5081239342689514]"
"[0.38026759028434753, 0.5026680827140808]","[0.346707284450531, 0.49293607473373413]","[0.3118112087249756, 0.49444547295570374]","[0.2849270701408386, 0.5031477212905884]","[0.31438255310058594, 0.5086604952812195]","[0.3492371439933777, 0.5078809261322021]"
"[0.3797961175441742, 0.5021330118179321]","[0.34655722975730896, 0.49263235926628113]","[0.31172072887420654, 0.4941023588180542]","[0.2844279706478119, 0.5026718378067017]","[0.31411832571029663, 0.5081399083137512]","[0.34895387291908264, 0.507325291633606]"
"[0.37962934374809265, 0.5025591850280762]","[0.3461458086967468, 0.49308180809020996]","[0.31124088168144226, 0.49461084604263306]","[0.28381776809692383, 0.5032734870910645]","[0.31383317708969116, 0.5086814165115356]","[0.3488316535949707, 0.5077922344207764]"
"[0.37895649671554565, 0.5026456117630005]","[0.3457147181034088, 0.4934922754764557]","[0.31079617142677307, 0.49506378173828125]","[0.2830559015274048, 0.5035825371742249]","[0.3130786716938019, 0.5087704658508301]","[0.3481130003929138, 0.5078040957450867]"
"[0.3789786100387573, 0.5024954676628113]","[0.3459107279777527, 0.493117094039917]","[0.3111082911491394, 0.4945889115333557]","[0.28356194496154785, 0.5031848549842834]","[0.3134535253047943, 0.5085216164588928]","[0.34828388690948486, 0.5076448321342468]"
"[0.3760084807872772, 0.50303715467453]","[0.3426514267921448, 0.49410802125930786]","[0.3079555928707123, 0.4957900047302246]","[0.28035417199134827, 0.5043846964836121]","[0.3100706934928894, 0.5094304084777832]","[0.34506455063819885, 0.5084035992622375]"
"[0.37689709663391113, 0.5031274557113647]","[0.34384095668792725, 0.4939425587654114]","[0.30917271971702576, 0.49556076526641846]","[0.2820221185684204, 0.5043027400970459]","[0.3114957809448242, 0.5093871355056763]","[0.3461760878562927, 0.5083585381507874]"
"[0.37767839431762695, 0.5027942657470703]","[0.3447588384151459, 0.493379145860672]","[0.3101832866668701, 0.4948068857192993]","[0.28310585021972656, 0.5034617781639099]","[0.31215646862983704, 0.5088274478912354]","[0.34682777523994446, 0.5080324411392212]"
"[0.37627947330474854, 0.5022866725921631]","[0.3426316976547241, 0.49254468083381653]","[0.30749064683914185, 0.49395620822906494]","[0.28037649393081665, 0.5027212500572205]","[0.30993857979774475, 0.5084010362625122]","[0.3450714647769928, 0.5076199173927307]"
"[0.3757653832435608, 0.5023062825202942]","[0.3420695960521698, 0.49282628297805786]","[0.3068881332874298, 0.4943617284297943]","[0.27961647510528564, 0.5029858350753784]","[0.30949971079826355, 0.508430540561676]","[0.34469103813171387, 0.5075365304946899]"
"[0.37648141384124756, 0.5037949681282043]","[0.3428613543510437, 0.49451255798339844]","[0.30803245306015015, 0.4961521029472351]","[0.28105491399765015, 0.5049311518669128]","[0.31038156151771545, 0.5104644298553467]","[0.3454093933105469, 0.5094943046569824]"
"[0.37669676542282104, 0.5050163865089417]","[0.34386590123176575, 0.49786365032196045]","[0.3101362884044647, 0.4997245967388153]","[0.28291913866996765, 0.507535994052887]","[0.3118821382522583, 0.5119597315788269]","[0.34632381796836853, 0.5106026530265808]"
"[0.37759822607040405, 0.5053325891494751]","[0.3444182574748993, 0.4979793131351471]","[0.3103782534599304, 0.49982085824012756]","[0.2829815745353699, 0.5077546238899231]","[0.3119868040084839, 0.5123124122619629]","[0.3467313349246979, 0.5109930634498596]"
"[0.3778183162212372, 0.5062086582183838]","[0.34484466910362244, 0.49958235025405884]","[0.31128042936325073, 0.5015136003494263]","[0.283999502658844, 0.5090936422348022]","[0.31267446279525757, 0.5134785771369934]","[0.3472099304199219, 0.5120359063148499]"
"[0.37774211168289185, 0.5074682831764221]","[0.3444943428039551, 0.5014880299568176]","[0.3109372854232788, 0.5036829710006714]","[0.28368687629699707, 0.5111871957778931]","[0.3123241364955902, 0.515163242816925]","[0.3469966948032379, 0.513469934463501]"
"[0.3778804540634155, 0.508663535118103]","[0.3446264863014221, 0.5033498406410217]","[0.3113800883293152, 0.5057255625724792]","[0.2840876281261444, 0.5130349397659302]","[0.31257572770118713, 0.5166698098182678]","[0.34718817472457886, 0.5148181915283203]"
"[0.3770985007286072, 0.5081836581230164]","[0.3444065451622009, 0.5029252767562866]","[0.31119686365127563, 0.5050471425056458]","[0.2835678458213806, 0.5121253132820129]","[0.31206750869750977, 0.5158031582832336]","[0.3466012179851532, 0.5140711665153503]"
"[0.37678974866867065, 0.5077444911003113]","[0.3445398509502411, 0.5038113594055176]","[0.31214478611946106, 0.5061081051826477]","[0.2846001982688904, 0.512588620185852]","[0.313302606344223, 0.5155746936798096]","[0.34728625416755676, 0.5135732293128967]"
"[0.3767245411872864, 0.507401704788208]","[0.3448936343193054, 0.5031628012657166]","[0.3125421404838562, 0.505281925201416]","[0.28493350744247437, 0.5117635130882263]","[0.3134004473686218, 0.5150393843650818]","[0.3472272753715515, 0.5131925940513611]"
"[0.37678658962249756, 0.5081024169921875]","[0.34481823444366455, 0.5038782358169556]","[0.312660276889801, 0.5061324834823608]","[0.2851898670196533, 0.5128429532051086]","[0.31349533796310425, 0.5159894824028015]","[0.34731996059417725, 0.5140576958656311]"
"[0.3762417137622833, 0.5077100992202759]","[0.34431928396224976, 0.5033667087554932]","[0.31193163990974426, 0.5055264830589294]","[0.2843046486377716, 0.5121163129806519]","[0.31281059980392456, 0.5154081583023071]","[0.3467015326023102, 0.5135238766670227]"
"[0.3765338659286499, 0.5074180364608765]","[0.3446487486362457, 0.5031919479370117]","[0.3123817443847656, 0.5053466558456421]","[0.28488993644714355, 0.5118244290351868]","[0.31331709027290344, 0.5150559544563293]","[0.34715428948402405, 0.5131994485855103]"
"[0.37724733352661133, 0.5070430040359497]","[0.3454092741012573, 0.5025806427001953]","[0.31300830841064453, 0.5046477913856506]","[0.285550594329834, 0.5111211538314819]","[0.3139325976371765, 0.5145143866539001]","[0.3477427363395691, 0.5127682089805603]"
"[0.3769581913948059, 0.5075121521949768]","[0.34465354681015015, 0.5030556321144104]","[0.3121677041053772, 0.5052370429039001]","[0.2848891019821167, 0.5118696689605713]","[0.31332382559776306, 0.5152008533477783]","[0.34734272956848145, 0.5133482813835144]"
"[0.3771933615207672, 0.5068423748016357]","[0.34490734338760376, 0.5026967525482178]","[0.3124568462371826, 0.504848837852478]","[0.28508538007736206, 0.5111367702484131]","[0.31352829933166504, 0.5143573880195618]","[0.347578227519989, 0.5125595927238464]"
"[0.37789386510849, 0.5069427490234375]","[0.345559298992157, 0.5024142265319824]","[0.31296101212501526, 0.5044282674789429]","[0.28550755977630615, 0.5108354687690735]","[0.3138933777809143, 0.5142611861228943]","[0.34803006052970886, 0.5125988125801086]"
"[0.3767881691455841, 0.5064936876296997]","[0.34445011615753174, 0.5022385120391846]","[0.31171339750289917, 0.5043336153030396]","[0.2842637002468109, 0.5106228590011597]","[0.31287381052970886, 0.5139938592910767]","[0.34701478481292725, 0.5122073888778687]"
"[0.37810295820236206, 0.5054423809051514]","[0.3455949127674103, 0.5000908374786377]","[0.3125896751880646, 0.5020882487297058]","[0.2853044867515564, 0.508910596370697]","[0.31395503878593445, 0.5126547813415527]","[0.3481267988681793, 0.5110987424850464]"
"[0.3773789405822754, 0.5054670572280884]","[0.34443551301956177, 0.4997114837169647]","[0.3109087646007538, 0.5018462538719177]","[0.2834058403968811, 0.5090804100036621]","[0.3124297857284546, 0.5128886699676514]","[0.3469507396221161, 0.5112459063529968]"
"[0.3780447840690613, 0.5059796571731567]","[0.3452497124671936, 0.49954384565353394]","[0.31181755661964417, 0.5015679597854614]","[0.2846035063266754, 0.5091878771781921]","[0.3133763372898102, 0.5132594108581543]","[0.34763044118881226, 0.5117427706718445]"
