463,385,387,263,373,380
"[0.4957192540168762, 0.5019736886024475]","[0.5351973176002502, 0.4919723868370056]","[0.5699474811553955, 0.49273890256881714]","[0.5943475365638733, 0.5013638138771057]","[0.5686251521110535, 0.5074856281280518]","[0.5339685082435608, 0.5073389410972595]"
"[0.49631720781326294, 0.5018251538276672]","[0.5359925627708435, 0.4919104278087616]","[0.5707271099090576, 0.4926392436027527]","[0.5951452255249023, 0.5010244250297546]","[0.5691144466400146, 0.507063627243042]","[0.5344109535217285, 0.5068977475166321]"
"[0.49643948674201965, 0.5027413964271545]","[0.5359607934951782, 0.49298179149627686]","[0.5705224871635437, 0.4935806393623352]","[0.5952900052070618, 0.5019962191581726]","[0.5692285299301147, 0.5083737373352051]","[0.5345334410667419, 0.508259654045105]"
"[0.4966806173324585, 0.5033092498779297]","[0.5356378555297852, 0.49553927779197693]","[0.5693594217300415, 0.49618861079216003]","[0.5944877862930298, 0.5036046504974365]","[0.5685375332832336, 0.5091168284416199]","[0.5342279076576233, 0.508736252784729]"
"[0.49827927350997925, 0.5036003589630127]","[0.5376002788543701, 0.49566885828971863]","[0.5716540217399597, 0.49633461236953735]","[0.5966939330101013, 0.5038310289382935]","[0.5708170533180237, 0.5094404220581055]","[0.536298930644989, 0.5090978145599365]"
"[0.4976566731929779, 0.503989577293396]","[0.5370096564292908, 0.49667561054229736]","[0.5707427263259888, 0.49719393253326416]","[0.5961950421333313, 0.5042152404785156]","[0.5701227188110352, 0.5098472833633423]","[0.5355774760246277, 0.5095523595809937]"
"[0.49843618273735046, 0.5044437050819397]","[0.537960410118103, 0.49730435013771057]","[0.5719457864761353, 0.49767470359802246]","[0.5977399349212646, 0.504431426525116]","[0.5715641975402832, 0.51007479429245]","[0.5367125868797302, 0.5098693370819092]"
"[0.49755042791366577, 0.5052987337112427]","[0.5369373559951782, 0.4987240433692932]","[0.5705081820487976, 0.49915000796318054]","[0.5960517525672913, 0.5056246519088745]","[0.5703294277191162, 0.5111137628555298]","[0.5357347726821899, 0.5108922123908997]"
"[0.49769699573516846, 0.5054216980934143]","[0.5371180176734924, 0.49942266941070557]","[0.5705292820930481, 0.500016987323761]","[0.596234917640686, 0.5064299702644348]","[0.5700796842575073, 0.5115786790847778]","[0.5355729460716248, 0.5111159086227417]"
"[0.49658650159835815, 0.5046926736831665]","[0.5345461964607239, 0.49965474009513855]","[0.5669363737106323, 0.5002771615982056]","[0.5924009084701538, 0.5060114860534668]","[0.5670674443244934, 0.5105460286140442]","[0.5334175825119019, 0.5101004838943481]"
"[0.4958994686603546, 0.5045105218887329]","[0.533993661403656, 0.49940750002861023]","[0.5662508010864258, 0.5000073909759521]","[0.5916913747787476, 0.5057500600814819]","[0.5662828683853149, 0.5104381442070007]","[0.532713770866394, 0.5100343227386475]"
"[0.4956301152706146, 0.5049549341201782]","[0.5335276126861572, 0.4997923672199249]","[0.5656249523162842, 0.500353217124939]","[0.5910428762435913, 0.5062317252159119]","[0.5658945441246033, 0.5109378695487976]","[0.5323748588562012, 0.5105760097503662]"
"[0.49528324604034424, 0.504737138748169]","[0.5333822965621948, 0.49948185682296753]","[0.5656761527061462, 0.5000386834144592]","[0.5910833477973938, 0.5058684349060059]","[0.5656912326812744, 0.5106582045555115]","[0.5321075916290283, 0.5102871656417847]"
"[0.4951210916042328, 0.504732072353363]","[0.5332256555557251, 0.4997256100177765]","[0.565323531627655, 0.5004003643989563]","[0.5904757976531982, 0.5061690807342529]","[0.5651800632476807, 0.5107957124710083]","[0.5317288637161255, 0.5103335380554199]"
"[0.4961189031600952, 0.504561722278595]","[0.534235417842865, 0.49937108159065247]","[0.5665084719657898, 0.5000311136245728]","[0.591738224029541, 0.5058510303497314]","[0.566293478012085, 0.5105518102645874]","[0.5328271389007568, 0.5101068615913391]"
"[0.4961150288581848, 0.5048404932022095]","[0.534265398979187, 0.499620258808136]","[0.566561758518219, 0.5002891421318054]","[0.5916401743888855, 0.5061935782432556]","[0.5664459466934204, 0.5108701586723328]","[0.5328614115715027, 0.5104186534881592]"
"[0.49628791213035583, 0.5043946504592896]","[0.5346968173980713, 0.4996107816696167]","[0.5669430494308472, 0.5003814101219177]","[0.5919598340988159, 0.5060112476348877]","[0.5665401220321655, 0.5104852318763733]","[0.5329744815826416, 0.5099446177482605]"
