78,82,312,308,317,87
"[0.36092522740364075, 0.6320199370384216]","[0.42510172724723816, 0.623481035232544]","[0.466886043548584, 0.6233110427856445]","[0.5206217169761658, 0.6313128471374512]","[0.46702077984809875, 0.6278153657913208]","[0.42372241616249084, 0.6280282735824585]"
"[0.3607562780380249, 0.6314844489097595]","[0.424943745136261, 0.6228312849998474]","[0.46668753027915955, 0.6225870251655579]","[0.520067572593689, 0.6304941177368164]","[0.46692126989364624, 0.6269472241401672]","[0.4238094687461853, 0.6272501349449158]"
"[0.36009302735328674, 0.6328888535499573]","[0.4242798686027527, 0.6239160299301147]","[0.4665694236755371, 0.6236415505409241]","[0.5205970406532288, 0.6318241953849792]","[0.4666318893432617, 0.6286308765411377]","[0.4228754937648773, 0.6289292573928833]"
"[0.3597908914089203, 0.6310399770736694]","[0.4249166250228882, 0.6223112344741821]","[0.46712130308151245, 0.622099757194519]","[0.5207589268684387, 0.6300613880157471]","[0.4670940041542053, 0.6263101100921631]","[0.4235784411430359, 0.6265842318534851]"
"[0.35873204469680786, 0.633193850517273]","[0.4231703281402588, 0.6244103312492371]","[0.46563464403152466, 0.6242159008979797]","[0.5196229219436646, 0.6323864459991455]","[0.46574291586875916, 0.6293237209320068]","[0.421749472618103, 0.629532516002655]"
"[0.3587001860141754, 0.6309211850166321]","[0.42400556802749634, 0.6223253607749939]","[0.4664309620857239, 0.6221266984939575]","[0.5197347402572632, 0.6300341486930847]","[0.46648073196411133, 0.6264377236366272]","[0.42286768555641174, 0.6266856789588928]"
"[0.35930103063583374, 0.631990373134613]","[0.4222569167613983, 0.6227462887763977]","[0.46427637338638306, 0.6226460933685303]","[0.5177724361419678, 0.6315539479255676]","[0.4644050896167755, 0.6280715465545654]","[0.4211352467536926, 0.6281919479370117]"
"[0.3589724898338318, 0.631342351436615]","[0.42285844683647156, 0.6224839687347412]","[0.4647921621799469, 0.6222110390663147]","[0.5183855891227722, 0.630242645740509]","[0.46495696902275085, 0.6267479658126831]","[0.4216591715812683, 0.6270753145217896]"
"[0.3587510883808136, 0.6326927542686462]","[0.4218828082084656, 0.6233492493629456]","[0.4637359380722046, 0.6231886148452759]","[0.5175167918205261, 0.6319841742515564]","[0.4638279378414154, 0.6286255121231079]","[0.4203389883041382, 0.628818929195404]"
"[0.360123872756958, 0.6327291131019592]","[0.42372873425483704, 0.62270188331604]","[0.46513229608535767, 0.6224722862243652]","[0.5171074271202087, 0.6317130327224731]","[0.4652954936027527, 0.6281940340995789]","[0.4223015606403351, 0.6284779906272888]"
